Ticket_ID,Application_ID,Issue_Type,Resolution_Time_Hours,Escalation_Level
TCK00001461,APP0012893,Status Inquiry,29,Tier 2
TCK00001462,APP0012915,Status Inquiry,19,Tier 1
TCK00001463,APP0012916,Login,10,Tier 2
TCK00001464,APP0012917,Other,12,Tier 2
TCK00001465,APP0012925,Status Inquiry,3,Tier 1
TCK00001466,APP0012932,Upload,20,Tier 1
TCK00001467,APP0012940,Status Inquiry,15,Tier 1
TCK00001468,APP0012951,Upload,22,Tier 2
TCK00001469,APP0012956,Login,23,Tier 1
TCK00001470,APP0012960,Upload,14,Tier 1
TCK00001471,APP0012964,Upload,9,Tier 1
TCK00001472,APP0012992,Upload,7,Tier 2
TCK00001473,APP0013002,Upload,13,Tier 2
TCK00001474,APP0013008,Upload,17,Tier 1
TCK00001475,APP0013011,Upload,27,Tier 1
TCK00001476,APP0013038,Upload,9,Tier 1
TCK00001477,APP0013048,Upload,20,Tier 1
TCK00001478,APP0013052,Login,8,Tier 2
TCK00001479,APP0013053,Status Inquiry,12,Tier 2
TCK00001480,APP0013057,Upload,23,Tier 2
TCK00001481,APP0013064,Login,20,Tier 2
TCK00001482,APP0013066,Login,12,Tier 1
TCK00001483,APP0013068,Status Inquiry,11,Tier 1
TCK00001484,APP0013074,Status Inquiry,25,Tier 1
TCK00001485,APP0013080,Upload,15,Tier 1
TCK00001486,APP0013098,Status Inquiry,14,Tier 1
TCK00001487,APP0013120,Login,8,Tier 1
TCK00001488,APP0013134,Other,36,Tier 1
TCK00001489,APP0013144,Upload,31,Tier 1
TCK00001490,APP0013178,Status Inquiry,21,Tier 2
TCK00001491,APP0013194,Upload,34,Tier 1
TCK00001492,APP0013214,Status Inquiry,20,Tier 1
TCK00001493,APP0013216,Upload,14,Tier 2
TCK00001494,APP0013218,Upload,21,Tier 3
TCK00001495,APP0013221,Login,28,Tier 2
TCK00001496,APP0013227,Upload,8,Tier 1
TCK00001497,APP0013254,Upload,27,Tier 2
TCK00001498,APP0013256,Upload,26,Tier 1
TCK00001499,APP0013261,Status Inquiry,29,Tier 2
TCK00001500,APP0013271,Other,21,Tier 1
TCK00001501,APP0013272,Login,26,Tier 1
TCK00001502,APP0013278,Login,3,Tier 1
TCK00001503,APP0013279,Status Inquiry,17,Tier 1
TCK00001504,APP0013281,Other,25,Tier 1
TCK00001505,APP0013285,Status Inquiry,22,Tier 2
TCK00001506,APP0013298,Login,19,Tier 1
TCK00001507,APP0013299,Login,7,Tier 1
TCK00001508,APP0013313,Upload,16,Tier 1
TCK00001509,APP0013315,Login,3,Tier 2
TCK00001510,APP0013317,Upload,15,Tier 2
TCK00001511,APP0013326,Upload,20,Tier 2
TCK00001512,APP0013337,Status Inquiry,13,Tier 1
TCK00001513,APP0013339,Upload,21,Tier 1
TCK00001514,APP0013358,Status Inquiry,17,Tier 1
TCK00001515,APP0013367,Upload,24,Tier 1
TCK00001516,APP0013371,Upload,14,Tier 1
TCK00001517,APP0013372,Login,4,Tier 1
TCK00001518,APP0013373,Status Inquiry,7,Tier 1
TCK00001519,APP0013378,Upload,11,Tier 1
TCK00001520,APP0013389,Upload,17,Tier 1
TCK00001521,APP0013393,Other,18,Tier 1
TCK00001522,APP0013434,Upload,11,Tier 1
TCK00001523,APP0013435,Status Inquiry,18,Tier 1
TCK00001524,APP0013438,Login,12,Tier 3
TCK00001525,APP0013449,Status Inquiry,23,Tier 1
TCK00001526,APP0013453,Login,7,Tier 1
TCK00001527,APP0013459,Status Inquiry,27,Tier 2
TCK00001528,APP0013466,Login,20,Tier 2
TCK00001529,APP0013471,Upload,14,Tier 2
TCK00001530,APP0013483,Status Inquiry,9,Tier 1
TCK00001531,APP0013488,Upload,22,Tier 2
TCK00001532,APP0013492,Status Inquiry,13,Tier 1
TCK00001533,APP0013507,Status Inquiry,23,Tier 1
TCK00001534,APP0013510,Upload,32,Tier 2
TCK00001535,APP0013515,Other,19,Tier 1
TCK00001536,APP0013519,Upload,20,Tier 2
TCK00001537,APP0013523,Other,22,Tier 2
TCK00001538,APP0013524,Other,14,Tier 1
TCK00001539,APP0013529,Status Inquiry,33,Tier 2
TCK00001540,APP0013546,Upload,16,Tier 2
TCK00001541,APP0013553,Status Inquiry,24,Tier 1
TCK00001542,APP0013566,Status Inquiry,21,Tier 1
TCK00001543,APP0013568,Status Inquiry,14,Tier 3
TCK00001544,APP0013572,Status Inquiry,29,Tier 2
TCK00001545,APP0013577,Other,21,Tier 1
TCK00001546,APP0013581,Upload,13,Tier 1
TCK00001547,APP0013584,Other,13,Tier 1
TCK00001548,APP0013587,Upload,3,Tier 2
TCK00001549,APP0013602,Upload,10,Tier 2
TCK00001550,APP0013605,Status Inquiry,25,Tier 3
TCK00001551,APP0013612,Login,25,Tier 1
TCK00001552,APP0013638,Login,11,Tier 1
TCK00001553,APP0013642,Status Inquiry,24,Tier 1
TCK00001554,APP0013653,Other,27,Tier 1
TCK00001555,APP0013662,Upload,25,Tier 1
TCK00001556,APP0013666,Status Inquiry,29,Tier 1
TCK00001557,APP0013671,Upload,4,Tier 1
TCK00001558,APP0013675,Upload,20,Tier 1
TCK00001559,APP0013680,Status Inquiry,11,Tier 1
TCK00001560,APP0013688,Login,24,Tier 1
TCK00001561,APP0013696,Upload,13,Tier 1
TCK00001562,APP0013703,Status Inquiry,20,Tier 1
TCK00001563,APP0013705,Upload,26,Tier 1
TCK00001564,APP0013708,Status Inquiry,6,Tier 1
TCK00001565,APP0013719,Upload,14,Tier 1
TCK00001566,APP0013731,Upload,13,Tier 1
TCK00001567,APP0013732,Login,18,Tier 1
TCK00001568,APP0013735,Upload,6,Tier 2
TCK00001569,APP0013771,Status Inquiry,25,Tier 2
TCK00001570,APP0013782,Upload,34,Tier 1
TCK00001571,APP0013799,Upload,16,Tier 2
TCK00001572,APP0013801,Upload,23,Tier 1
TCK00001573,APP0013817,Upload,1,Tier 1
TCK00001574,APP0013822,Status Inquiry,9,Tier 1
TCK00001575,APP0013834,Status Inquiry,24,Tier 1
TCK00001576,APP0013838,Login,21,Tier 1
TCK00001577,APP0013857,Upload,23,Tier 1
TCK00001578,APP0013859,Login,29,Tier 1
TCK00001579,APP0013861,Login,19,Tier 1
TCK00001580,APP0013871,Status Inquiry,16,Tier 1
TCK00001581,APP0013881,Other,14,Tier 1
TCK00001582,APP0013884,Status Inquiry,19,Tier 1
TCK00001583,APP0013886,Upload,1,Tier 1
TCK00001584,APP0013888,Login,30,Tier 2
TCK00001585,APP0013925,Other,1,Tier 2
TCK00001586,APP0013942,Upload,5,Tier 2
TCK00001587,APP0013952,Status Inquiry,18,Tier 2
TCK00001588,APP0013966,Upload,25,Tier 1
TCK00001589,APP0013975,Status Inquiry,22,Tier 2
TCK00001590,APP0013977,Status Inquiry,30,Tier 2
TCK00001591,APP0014000,Status Inquiry,14,Tier 2
TCK00001592,APP0014008,Upload,13,Tier 2
TCK00001593,APP0014012,Other,22,Tier 1
TCK00001594,APP0014026,Status Inquiry,9,Tier 1
TCK00001595,APP0014047,Login,19,Tier 1
TCK00001596,APP0014079,Login,22,Tier 2
TCK00001597,APP0014089,Status Inquiry,20,Tier 3
TCK00001598,APP0014135,Login,1,Tier 1
TCK00001599,APP0014143,Upload,16,Tier 1
TCK00001600,APP0014163,Upload,1,Tier 1
TCK00001601,APP0014172,Login,24,Tier 1
TCK00001602,APP0014180,Login,14,Tier 1
TCK00001603,APP0014181,Upload,25,Tier 1
TCK00001604,APP0014186,Upload,28,Tier 1
TCK00001605,APP0014187,Upload,7,Tier 1
TCK00001606,APP0014189,Status Inquiry,25,Tier 1
TCK00001607,APP0014190,Login,21,Tier 1
TCK00001608,APP0014198,Upload,29,Tier 2
TCK00001609,APP0014200,Status Inquiry,7,Tier 1
TCK00001610,APP0014202,Upload,7,Tier 1
TCK00001611,APP0014203,Login,11,Tier 2
TCK00001612,APP0014207,Login,3,Tier 2
TCK00001613,APP0014235,Status Inquiry,18,Tier 2
TCK00001614,APP0014242,Status Inquiry,12,Tier 1
TCK00001615,APP0014260,Status Inquiry,19,Tier 1
TCK00001616,APP0014292,Upload,20,Tier 1
TCK00001617,APP0014314,Upload,24,Tier 2
TCK00001618,APP0014317,Upload,7,Tier 1
TCK00001619,APP0014318,Upload,23,Tier 2
TCK00001620,APP0014332,Status Inquiry,23,Tier 1
TCK00001621,APP0014336,Login,9,Tier 1
TCK00001622,APP0014348,Upload,12,Tier 1
TCK00001623,APP0014366,Status Inquiry,6,Tier 2
TCK00001624,APP0014402,Upload,27,Tier 1
TCK00001625,APP0014409,Upload,28,Tier 2
TCK00001626,APP0014419,Login,11,Tier 2
TCK00001627,APP0014420,Status Inquiry,16,Tier 1
TCK00001628,APP0014460,Other,21,Tier 1
TCK00001629,APP0014509,Status Inquiry,23,Tier 1
TCK00001630,APP0014511,Other,17,Tier 1
TCK00001631,APP0014519,Status Inquiry,30,Tier 1
TCK00001632,APP0014521,Status Inquiry,10,Tier 1
TCK00001633,APP0014526,Other,24,Tier 1
TCK00001634,APP0014551,Other,18,Tier 1
TCK00001635,APP0014557,Status Inquiry,20,Tier 3
TCK00001636,APP0014558,Status Inquiry,11,Tier 1
TCK00001637,APP0014559,Upload,3,Tier 2
TCK00001638,APP0014569,Login,13,Tier 1
TCK00001639,APP0014572,Login,21,Tier 1
TCK00001640,APP0014574,Upload,11,Tier 3
TCK00001641,APP0014579,Login,4,Tier 1
TCK00001642,APP0014609,Login,16,Tier 1
TCK00001643,APP0014615,Upload,17,Tier 1
TCK00001644,APP0014616,Login,9,Tier 1
TCK00001645,APP0014621,Login,16,Tier 1
TCK00001646,APP0014624,Status Inquiry,21,Tier 1
TCK00001647,APP0014627,Upload,19,Tier 1
TCK00001648,APP0014640,Other,25,Tier 1
TCK00001649,APP0014646,Other,27,Tier 1
TCK00001650,APP0014651,Upload,17,Tier 1
TCK00001651,APP0014660,Upload,11,Tier 2
TCK00001652,APP0014673,Upload,3,Tier 1
TCK00001653,APP0014684,Other,25,Tier 1
TCK00001654,APP0014686,Status Inquiry,20,Tier 1
TCK00001655,APP0014691,Upload,25,Tier 1
TCK00001656,APP0014700,Status Inquiry,11,Tier 1
TCK00001657,APP0014705,Status Inquiry,18,Tier 2
TCK00001658,APP0014711,Upload,11,Tier 2
TCK00001659,APP0014715,Login,10,Tier 1
TCK00001660,APP0014718,Other,6,Tier 1
TCK00001661,APP0014727,Upload,15,Tier 1
TCK00001662,APP0014729,Status Inquiry,21,Tier 1
TCK00001663,APP0014751,Login,23,Tier 1
TCK00001664,APP0014753,Upload,19,Tier 1
TCK00001665,APP0014755,Upload,15,Tier 1
TCK00001666,APP0014768,Login,33,Tier 1
TCK00001667,APP0014794,Other,30,Tier 1
TCK00001668,APP0014802,Login,25,Tier 1
TCK00001669,APP0014820,Status Inquiry,18,Tier 1
TCK00001670,APP0014821,Upload,27,Tier 1
TCK00001671,APP0014836,Other,11,Tier 2
TCK00001672,APP0014852,Status Inquiry,7,Tier 1
TCK00001673,APP0014858,Login,22,Tier 3
TCK00001674,APP0014895,Upload,19,Tier 1
TCK00001675,APP0014897,Upload,26,Tier 2
TCK00001676,APP0014923,Status Inquiry,11,Tier 1
TCK00001677,APP0014926,Upload,20,Tier 1
TCK00001678,APP0014927,Status Inquiry,9,Tier 1
TCK00001679,APP0014942,Login,14,Tier 1
TCK00001680,APP0014943,Status Inquiry,21,Tier 2
TCK00001681,APP0014958,Login,17,Tier 1
TCK00001682,APP0014967,Status Inquiry,10,Tier 3
TCK00001683,APP0014974,Upload,6,Tier 2
TCK00001684,APP0014978,Other,14,Tier 1
TCK00001685,APP0014985,Login,10,Tier 2
TCK00001686,APP0014990,Upload,6,Tier 2
TCK00001687,APP0015002,Status Inquiry,18,Tier 2
TCK00001688,APP0015005,Login,10,Tier 1
TCK00001689,APP0015021,Login,27,Tier 1
TCK00001690,APP0015032,Status Inquiry,34,Tier 1
TCK00001691,APP0015035,Status Inquiry,26,Tier 1
TCK00001692,APP0015036,Upload,40,Tier 3
TCK00001693,APP0015037,Status Inquiry,8,Tier 2
TCK00001694,APP0015041,Upload,4,Tier 1
TCK00001695,APP0015045,Login,16,Tier 2
TCK00001696,APP0015056,Login,3,Tier 1
TCK00001697,APP0015057,Other,18,Tier 2
TCK00001698,APP0015061,Upload,24,Tier 2
TCK00001699,APP0015066,Status Inquiry,23,Tier 1
TCK00001700,APP0015069,Status Inquiry,25,Tier 1
TCK00001701,APP0015091,Status Inquiry,16,Tier 2
TCK00001702,APP0015096,Upload,17,Tier 1
TCK00001703,APP0015107,Status Inquiry,19,Tier 2
TCK00001704,APP0015118,Upload,17,Tier 1
TCK00001705,APP0015130,Upload,25,Tier 1
TCK00001706,APP0015134,Status Inquiry,14,Tier 1
TCK00001707,APP0015136,Other,17,Tier 1
TCK00001708,APP0015148,Upload,12,Tier 1
TCK00001709,APP0015156,Upload,25,Tier 1
TCK00001710,APP0015169,Status Inquiry,18,Tier 1
TCK00001711,APP0015175,Login,18,Tier 1
TCK00001712,APP0015178,Upload,13,Tier 2
TCK00001713,APP0015181,Other,3,Tier 1
TCK00001714,APP0015186,Upload,14,Tier 1
TCK00001715,APP0015188,Login,1,Tier 1
TCK00001716,APP0015190,Upload,17,Tier 1
TCK00001717,APP0015194,Login,7,Tier 1
TCK00001718,APP0015198,Status Inquiry,27,Tier 1
TCK00001719,APP0015207,Status Inquiry,12,Tier 1
TCK00001720,APP0015215,Upload,17,Tier 2
TCK00001721,APP0015219,Other,13,Tier 1
TCK00001722,APP0015240,Upload,8,Tier 1
TCK00001723,APP0015249,Login,5,Tier 3
TCK00001724,APP0015256,Status Inquiry,1,Tier 1
TCK00001725,APP0015258,Login,12,Tier 1
TCK00001726,APP0015268,Status Inquiry,1,Tier 1
TCK00001727,APP0015272,Status Inquiry,26,Tier 3
TCK00001728,APP0015280,Status Inquiry,7,Tier 1
TCK00001729,APP0015306,Status Inquiry,12,Tier 1
TCK00001730,APP0015319,Upload,17,Tier 2
TCK00001731,APP0015328,Status Inquiry,16,Tier 1
TCK00001732,APP0015329,Status Inquiry,26,Tier 2
TCK00001733,APP0015331,Upload,17,Tier 3
TCK00001734,APP0015350,Upload,13,Tier 1
TCK00001735,APP0015377,Login,16,Tier 1
TCK00001736,APP0015385,Status Inquiry,29,Tier 1
TCK00001737,APP0015387,Status Inquiry,23,Tier 1
TCK00001738,APP0015393,Upload,2,Tier 1
TCK00001739,APP0015395,Upload,16,Tier 2
TCK00001740,APP0015397,Login,10,Tier 1
TCK00001741,APP0015405,Login,17,Tier 1
TCK00001742,APP0015415,Upload,22,Tier 1
TCK00001743,APP0015416,Status Inquiry,17,Tier 1
TCK00001744,APP0015417,Upload,22,Tier 1
TCK00001745,APP0015419,Upload,31,Tier 2
TCK00001746,APP0015427,Status Inquiry,3,Tier 1
TCK00001747,APP0015433,Upload,17,Tier 2
TCK00001748,APP0015439,Status Inquiry,18,Tier 1
TCK00001749,APP0015440,Other,21,Tier 1
TCK00001750,APP0015461,Status Inquiry,18,Tier 1
TCK00001751,APP0015463,Upload,25,Tier 1
TCK00001752,APP0015501,Login,17,Tier 1
TCK00001753,APP0015522,Login,21,Tier 2
TCK00001754,APP0015525,Status Inquiry,5,Tier 1
TCK00001755,APP0015565,Login,19,Tier 1
TCK00001756,APP0015580,Upload,8,Tier 2
TCK00001757,APP0015593,Login,22,Tier 1
TCK00001758,APP0015618,Status Inquiry,31,Tier 2
TCK00001759,APP0015619,Status Inquiry,17,Tier 1
TCK00001760,APP0015620,Upload,21,Tier 1
TCK00001761,APP0015637,Status Inquiry,23,Tier 1
TCK00001762,APP0015642,Upload,28,Tier 1
TCK00001763,APP0015656,Upload,24,Tier 1
TCK00001764,APP0015662,Upload,27,Tier 1
TCK00001765,APP0015668,Other,13,Tier 1
TCK00001766,APP0015669,Login,17,Tier 3
TCK00001767,APP0015673,Status Inquiry,6,Tier 1
TCK00001768,APP0015687,Login,35,Tier 1
TCK00001769,APP0015696,Login,8,Tier 1
TCK00001770,APP0015701,Login,25,Tier 3
TCK00001771,APP0015704,Upload,19,Tier 1
TCK00001772,APP0015706,Other,18,Tier 2
TCK00001773,APP0015715,Login,8,Tier 3
TCK00001774,APP0015724,Login,17,Tier 1
TCK00001775,APP0015731,Upload,18,Tier 1
TCK00001776,APP0015761,Login,21,Tier 1
TCK00001777,APP0015765,Upload,15,Tier 3
TCK00001778,APP0015768,Upload,20,Tier 2
TCK00001779,APP0015770,Login,10,Tier 1
TCK00001780,APP0015781,Upload,27,Tier 1
TCK00001781,APP0015784,Login,12,Tier 1
TCK00001782,APP0015802,Status Inquiry,46,Tier 2
TCK00001783,APP0015803,Upload,15,Tier 1
TCK00001784,APP0015805,Upload,13,Tier 2
TCK00001785,APP0015807,Login,19,Tier 2
TCK00001786,APP0015820,Upload,17,Tier 2
TCK00001787,APP0015822,Login,26,Tier 2
TCK00001788,APP0015834,Upload,27,Tier 2
TCK00001789,APP0015835,Status Inquiry,13,Tier 1
TCK00001790,APP0015842,Status Inquiry,12,Tier 1
TCK00001791,APP0015843,Status Inquiry,12,Tier 2
TCK00001792,APP0015858,Upload,22,Tier 1
TCK00001793,APP0015860,Login,26,Tier 1
TCK00001794,APP0015862,Status Inquiry,23,Tier 1
TCK00001795,APP0015864,Upload,17,Tier 3
TCK00001796,APP0015867,Other,18,Tier 1
TCK00001797,APP0015870,Status Inquiry,23,Tier 1
TCK00001798,APP0015881,Upload,28,Tier 1
TCK00001799,APP0015891,Other,18,Tier 2
TCK00001800,APP0015911,Status Inquiry,27,Tier 1
TCK00001801,APP0015915,Status Inquiry,15,Tier 2
TCK00001802,APP0015937,Other,20,Tier 1
TCK00001803,APP0015961,Status Inquiry,27,Tier 1
TCK00001804,APP0015964,Status Inquiry,11,Tier 2
TCK00001805,APP0015980,Status Inquiry,4,Tier 1
TCK00001806,APP0015982,Upload,9,Tier 3
TCK00001807,APP0016002,Status Inquiry,17,Tier 1
TCK00001808,APP0016007,Status Inquiry,10,Tier 1
TCK00001809,APP0016018,Upload,17,Tier 1
TCK00001810,APP0016019,Upload,29,Tier 2
TCK00001811,APP0016026,Status Inquiry,15,Tier 1
TCK00001812,APP0016035,Upload,28,Tier 3
TCK00001813,APP0016042,Status Inquiry,25,Tier 1
TCK00001814,APP0016046,Login,9,Tier 1
TCK00001815,APP0016053,Login,26,Tier 1
TCK00001816,APP0016064,Login,25,Tier 2
TCK00001817,APP0016073,Upload,26,Tier 3
TCK00001818,APP0016082,Upload,20,Tier 1
TCK00001819,APP0016100,Status Inquiry,20,Tier 1
TCK00001820,APP0016123,Login,14,Tier 2
TCK00001821,APP0016126,Status Inquiry,11,Tier 1
TCK00001822,APP0016143,Upload,18,Tier 1
TCK00001823,APP0016156,Status Inquiry,24,Tier 1
TCK00001824,APP0016184,Other,13,Tier 1
TCK00001825,APP0016191,Status Inquiry,31,Tier 1
TCK00001826,APP0016194,Status Inquiry,15,Tier 1
TCK00001827,APP0016199,Status Inquiry,21,Tier 1
TCK00001828,APP0016212,Status Inquiry,7,Tier 1
TCK00001829,APP0016214,Other,30,Tier 1
TCK00001830,APP0016215,Login,24,Tier 1
TCK00001831,APP0016231,Status Inquiry,29,Tier 1
TCK00001832,APP0016246,Status Inquiry,9,Tier 1
TCK00001833,APP0016247,Status Inquiry,30,Tier 1
TCK00001834,APP0016253,Login,22,Tier 1
TCK00001835,APP0016255,Login,13,Tier 1
TCK00001836,APP0016270,Upload,15,Tier 1
TCK00001837,APP0016274,Upload,6,Tier 1
TCK00001838,APP0016277,Upload,17,Tier 1
TCK00001839,APP0016282,Upload,26,Tier 3
TCK00001840,APP0016326,Upload,12,Tier 1
TCK00001841,APP0016335,Upload,21,Tier 1
TCK00001842,APP0016350,Login,9,Tier 2
TCK00001843,APP0016356,Status Inquiry,1,Tier 1
TCK00001844,APP0016359,Status Inquiry,17,Tier 2
TCK00001845,APP0016364,Status Inquiry,30,Tier 3
TCK00001846,APP0016372,Upload,28,Tier 1
TCK00001847,APP0016397,Upload,13,Tier 1
TCK00001848,APP0016420,Status Inquiry,28,Tier 1
TCK00001849,APP0016427,Other,27,Tier 1
TCK00001850,APP0016436,Upload,21,Tier 1
TCK00001851,APP0016485,Status Inquiry,15,Tier 3
TCK00001852,APP0016497,Login,26,Tier 1
TCK00001853,APP0016499,Login,17,Tier 1
TCK00001854,APP0016508,Upload,15,Tier 1
TCK00001855,APP0016516,Status Inquiry,26,Tier 1
TCK00001856,APP0016517,Status Inquiry,13,Tier 3
TCK00001857,APP0016529,Upload,23,Tier 2
TCK00001858,APP0016534,Login,30,Tier 1
TCK00001859,APP0016551,Status Inquiry,13,Tier 1
TCK00001860,APP0016553,Status Inquiry,19,Tier 2
TCK00001861,APP0016555,Upload,22,Tier 1
TCK00001862,APP0016567,Status Inquiry,4,Tier 1
TCK00001863,APP0016583,Upload,14,Tier 2
TCK00001864,APP0016592,Other,13,Tier 1
TCK00001865,APP0016604,Status Inquiry,14,Tier 2
TCK00001866,APP0016618,Status Inquiry,11,Tier 2
TCK00001867,APP0016634,Other,28,Tier 2
TCK00001868,APP0016638,Status Inquiry,11,Tier 1
TCK00001869,APP0016639,Status Inquiry,17,Tier 1
TCK00001870,APP0016655,Upload,22,Tier 1
TCK00001871,APP0016657,Status Inquiry,30,Tier 1
TCK00001872,APP0016663,Upload,5,Tier 1
TCK00001873,APP0016693,Upload,7,Tier 1
TCK00001874,APP0016696,Status Inquiry,9,Tier 2
TCK00001875,APP0016697,Upload,15,Tier 1
TCK00001876,APP0016725,Upload,25,Tier 1
TCK00001877,APP0016747,Status Inquiry,17,Tier 2
TCK00001878,APP0016790,Status Inquiry,19,Tier 2
TCK00001879,APP0016793,Status Inquiry,30,Tier 2
TCK00001880,APP0016832,Login,15,Tier 1
TCK00001881,APP0016853,Upload,19,Tier 2
TCK00001882,APP0016854,Login,33,Tier 1
TCK00001883,APP0016855,Login,24,Tier 1
TCK00001884,APP0016865,Status Inquiry,13,Tier 1
TCK00001885,APP0016874,Status Inquiry,13,Tier 1
TCK00001886,APP0016878,Upload,27,Tier 1
TCK00001887,APP0016881,Upload,9,Tier 1
TCK00001888,APP0016886,Status Inquiry,11,Tier 1
TCK00001889,APP0016890,Login,24,Tier 1
TCK00001890,APP0016891,Upload,28,Tier 1
TCK00001891,APP0016894,Upload,31,Tier 1
TCK00001892,APP0016899,Login,10,Tier 1
TCK00001893,APP0016912,Status Inquiry,22,Tier 2
TCK00001894,APP0016917,Status Inquiry,1,Tier 1
TCK00001895,APP0016923,Upload,11,Tier 1
TCK00001896,APP0016925,Status Inquiry,41,Tier 3
TCK00001897,APP0016932,Status Inquiry,30,Tier 1
TCK00001898,APP0016943,Status Inquiry,24,Tier 3
TCK00001899,APP0016948,Other,11,Tier 1
TCK00001900,APP0016968,Status Inquiry,8,Tier 1
TCK00001901,APP0016970,Status Inquiry,27,Tier 2
TCK00001902,APP0016973,Upload,17,Tier 2
TCK00001903,APP0016987,Login,11,Tier 1
TCK00001904,APP0016988,Status Inquiry,24,Tier 1
TCK00001905,APP0016991,Other,23,Tier 2
TCK00001906,APP0016993,Other,12,Tier 1
TCK00001907,APP0016995,Other,15,Tier 3
TCK00001908,APP0017016,Other,36,Tier 1
TCK00001909,APP0017048,Upload,10,Tier 2
TCK00001910,APP0017065,Login,26,Tier 1
TCK00001911,APP0017075,Login,12,Tier 1
TCK00001912,APP0017114,Login,11,Tier 1
TCK00001913,APP0017126,Upload,10,Tier 1
TCK00001914,APP0017128,Upload,17,Tier 1
TCK00001915,APP0017130,Login,18,Tier 1
TCK00001916,APP0017136,Status Inquiry,24,Tier 1
TCK00001917,APP0017141,Status Inquiry,12,Tier 1
TCK00001918,APP0017147,Status Inquiry,21,Tier 1
TCK00001919,APP0017151,Other,14,Tier 1
TCK00001920,APP0017159,Status Inquiry,12,Tier 2
TCK00001921,APP0017163,Upload,23,Tier 2
TCK00001922,APP0017167,Upload,22,Tier 1
TCK00001923,APP0017177,Upload,6,Tier 1
TCK00001924,APP0017179,Status Inquiry,19,Tier 2
TCK00001925,APP0017188,Login,3,Tier 1
TCK00001926,APP0017215,Other,9,Tier 1
TCK00001927,APP0017219,Login,31,Tier 1
TCK00001928,APP0017224,Status Inquiry,28,Tier 1
TCK00001929,APP0017232,Status Inquiry,16,Tier 1
TCK00001930,APP0017245,Upload,23,Tier 2
TCK00001931,APP0017251,Status Inquiry,28,Tier 1
TCK00001932,APP0017265,Upload,32,Tier 1
TCK00001933,APP0017268,Status Inquiry,32,Tier 1
TCK00001934,APP0017269,Other,12,Tier 1
TCK00001935,APP0017278,Upload,17,Tier 2
TCK00001936,APP0017279,Upload,19,Tier 2
TCK00001937,APP0017280,Upload,1,Tier 1
TCK00001938,APP0017283,Login,12,Tier 1
TCK00001939,APP0017296,Upload,21,Tier 1
TCK00001940,APP0017306,Status Inquiry,16,Tier 2
TCK00001941,APP0017311,Upload,13,Tier 1
TCK00001942,APP0017333,Upload,8,Tier 1
TCK00001943,APP0017344,Upload,13,Tier 1
TCK00001944,APP0017353,Login,17,Tier 2
TCK00001945,APP0017370,Upload,15,Tier 1
TCK00001946,APP0017380,Login,27,Tier 1
TCK00001947,APP0017388,Login,24,Tier 2
TCK00001948,APP0017423,Status Inquiry,7,Tier 1
TCK00001949,APP0017434,Upload,25,Tier 2
TCK00001950,APP0017448,Login,18,Tier 2
TCK00001951,APP0017450,Login,24,Tier 1
TCK00001952,APP0017465,Upload,12,Tier 1
TCK00001953,APP0017469,Status Inquiry,25,Tier 1
TCK00001954,APP0017472,Upload,12,Tier 1
TCK00001955,APP0017486,Login,26,Tier 2
TCK00001956,APP0017493,Status Inquiry,17,Tier 2
TCK00001957,APP0017498,Status Inquiry,15,Tier 2
TCK00001958,APP0017502,Upload,7,Tier 1
TCK00001959,APP0017515,Other,5,Tier 1
TCK00001960,APP0017516,Upload,24,Tier 1
TCK00001961,APP0017521,Login,9,Tier 2
TCK00001962,APP0017540,Upload,8,Tier 1
TCK00001963,APP0017550,Login,21,Tier 1
TCK00001964,APP0017554,Status Inquiry,18,Tier 1
TCK00001965,APP0017556,Status Inquiry,22,Tier 1
TCK00001966,APP0017568,Upload,7,Tier 2
TCK00001967,APP0017576,Login,1,Tier 1
TCK00001968,APP0017596,Other,10,Tier 1
TCK00001969,APP0017599,Upload,25,Tier 1
TCK00001970,APP0017611,Login,17,Tier 1
TCK00001971,APP0017621,Status Inquiry,21,Tier 1
TCK00001972,APP0017622,Status Inquiry,22,Tier 2
TCK00001973,APP0017626,Login,19,Tier 1
TCK00001974,APP0017632,Upload,19,Tier 2
TCK00001975,APP0017634,Login,16,Tier 1
TCK00001976,APP0017638,Login,19,Tier 2
TCK00001977,APP0017652,Status Inquiry,20,Tier 1
TCK00001978,APP0017654,Status Inquiry,12,Tier 1
TCK00001979,APP0017668,Status Inquiry,22,Tier 2
TCK00001980,APP0017697,Upload,17,Tier 1
TCK00001981,APP0017699,Login,17,Tier 3
TCK00001982,APP0017702,Status Inquiry,16,Tier 2
TCK00001983,APP0017719,Login,25,Tier 1
TCK00001984,APP0017720,Status Inquiry,16,Tier 1
TCK00001985,APP0017722,Status Inquiry,27,Tier 2
TCK00001986,APP0017739,Upload,9,Tier 1
TCK00001987,APP0017741,Login,22,Tier 1
TCK00001988,APP0017745,Upload,5,Tier 1
TCK00001989,APP0017753,Upload,18,Tier 1
TCK00001990,APP0017759,Status Inquiry,13,Tier 1
TCK00001991,APP0017773,Status Inquiry,14,Tier 1
TCK00001992,APP0017782,Status Inquiry,9,Tier 1
TCK00001993,APP0017786,Status Inquiry,17,Tier 1
TCK00001994,APP0017787,Status Inquiry,22,Tier 1
TCK00001995,APP0017792,Other,3,Tier 1
