Log_ID,Application_ID,Error_Code,Downtime_Minutes,Step_Failed
LOG00012965,APP0012965,None,0,KYC
LOG00012966,APP0012966,None,0,Final Approval
LOG00012967,APP0012967,None,0,Final Approval
LOG00012968,APP0012968,Timeout,52,KYC
LOG00012969,APP0012969,None,0,Final Approval
LOG00012970,APP0012970,None,0,Final Approval
LOG00012971,APP0012971,API Failure,32,Document Upload
LOG00012972,APP0012972,None,0,Final Approval
LOG00012973,APP0012973,None,0,Final Approval
LOG00012974,APP0012974,None,0,Final Approval
LOG00012975,APP0012975,Timeout,23,KYC
LOG00012976,APP0012976,None,0,Form
LOG00012977,APP0012977,None,0,Final Approval
LOG00012978,APP0012978,Timeout,38,Final Approval
LOG00012979,APP0012979,None,0,Final Approval
LOG00012980,APP0012980,None,0,Final Approval
LOG00012981,APP0012981,None,0,Final Approval
LOG00012982,APP0012982,None,0,Final Approval
LOG00012983,APP0012983,None,0,Final Approval
LOG00012984,APP0012984,None,0,Final Approval
LOG00012985,APP0012985,None,0,Final Approval
LOG00012986,APP0012986,None,0,Form
LOG00012987,APP0012987,None,0,Final Approval
LOG00012988,APP0012988,None,0,Final Approval
LOG00012989,APP0012989,None,0,Final Approval
LOG00012990,APP0012990,None,0,Final Approval
LOG00012991,APP0012991,None,0,Final Approval
LOG00012992,APP0012992,API Failure,12,KYC
LOG00012993,APP0012993,Timeout,32,Final Approval
LOG00012994,APP0012994,None,0,Final Approval
LOG00012995,APP0012995,Upload Error,48,Document Upload
LOG00012996,APP0012996,None,0,KYC
LOG00012997,APP0012997,None,0,Final Approval
LOG00012998,APP0012998,None,0,Final Approval
LOG00012999,APP0012999,Timeout,4,Form
LOG00013000,APP0013000,None,0,Final Approval
LOG00013001,APP0013001,None,0,Final Approval
LOG00013002,APP0013002,None,0,Document Upload
LOG00013003,APP0013003,None,0,Final Approval
LOG00013004,APP0013004,None,0,Final Approval
LOG00013005,APP0013005,API Failure,54,Document Upload
LOG00013006,APP0013006,None,0,Final Approval
LOG00013007,APP0013007,None,0,Final Approval
LOG00013008,APP0013008,None,0,Form
LOG00013009,APP0013009,None,0,KYC
LOG00013010,APP0013010,None,0,Final Approval
LOG00013011,APP0013011,None,0,Form
LOG00013012,APP0013012,None,0,Final Approval
LOG00013013,APP0013013,None,0,Final Approval
LOG00013014,APP0013014,None,0,Final Approval
LOG00013015,APP0013015,None,0,Final Approval
LOG00013016,APP0013016,Timeout,42,Final Approval
LOG00013017,APP0013017,None,0,Form
LOG00013018,APP0013018,Timeout,51,Document Upload
LOG00013019,APP0013019,None,0,Final Approval
LOG00013020,APP0013020,None,0,Final Approval
LOG00013021,APP0013021,None,0,Final Approval
LOG00013022,APP0013022,None,0,Final Approval
LOG00013023,APP0013023,None,0,Final Approval
LOG00013024,APP0013024,Upload Error,19,Final Approval
LOG00013025,APP0013025,None,0,Form
LOG00013026,APP0013026,None,0,Final Approval
LOG00013027,APP0013027,Upload Error,48,KYC
LOG00013028,APP0013028,None,0,Final Approval
LOG00013029,APP0013029,None,0,Final Approval
LOG00013030,APP0013030,API Failure,43,Form
LOG00013031,APP0013031,None,0,Final Approval
LOG00013032,APP0013032,None,0,Final Approval
LOG00013033,APP0013033,None,0,Final Approval
LOG00013034,APP0013034,None,0,Final Approval
LOG00013035,APP0013035,None,0,Final Approval
LOG00013036,APP0013036,API Failure,42,KYC
LOG00013037,APP0013037,None,0,Final Approval
LOG00013038,APP0013038,None,0,Final Approval
LOG00013039,APP0013039,None,0,Final Approval
LOG00013040,APP0013040,None,0,Final Approval
LOG00013041,APP0013041,None,0,Final Approval
LOG00013042,APP0013042,None,0,Form
LOG00013043,APP0013043,None,0,Final Approval
LOG00013044,APP0013044,API Failure,16,KYC
LOG00013045,APP0013045,None,0,Final Approval
LOG00013046,APP0013046,None,0,Final Approval
LOG00013047,APP0013047,None,0,Form
LOG00013048,APP0013048,None,0,Document Upload
LOG00013049,APP0013049,None,0,Final Approval
LOG00013050,APP0013050,None,0,Final Approval
LOG00013051,APP0013051,None,0,Form
LOG00013052,APP0013052,None,0,KYC
LOG00013053,APP0013053,None,0,KYC
LOG00013054,APP0013054,None,0,Document Upload
LOG00013055,APP0013055,None,0,KYC
LOG00013056,APP0013056,None,0,Final Approval
LOG00013057,APP0013057,None,0,Form
LOG00013058,APP0013058,None,0,KYC
LOG00013059,APP0013059,None,0,Final Approval
LOG00013060,APP0013060,None,0,Final Approval
LOG00013061,APP0013061,None,0,Document Upload
LOG00013062,APP0013062,Upload Error,52,Final Approval
LOG00013063,APP0013063,None,0,Final Approval
LOG00013064,APP0013064,None,0,Final Approval
LOG00013065,APP0013065,Timeout,19,KYC
LOG00013066,APP0013066,None,0,Final Approval
LOG00013067,APP0013067,None,0,Final Approval
LOG00013068,APP0013068,None,0,Document Upload
LOG00013069,APP0013069,Upload Error,14,Document Upload
LOG00013070,APP0013070,None,0,Form
LOG00013071,APP0013071,None,0,Final Approval
LOG00013072,APP0013072,None,0,Final Approval
LOG00013073,APP0013073,API Failure,4,KYC
LOG00013074,APP0013074,None,0,Final Approval
LOG00013075,APP0013075,None,0,Final Approval
LOG00013076,APP0013076,Upload Error,12,Document Upload
LOG00013077,APP0013077,Upload Error,42,Document Upload
LOG00013078,APP0013078,None,0,Final Approval
LOG00013079,APP0013079,API Failure,48,Form
LOG00013080,APP0013080,API Failure,8,Form
LOG00013081,APP0013081,None,0,Final Approval
LOG00013082,APP0013082,Timeout,25,Form
LOG00013083,APP0013083,None,0,Final Approval
LOG00013084,APP0013084,None,0,Form
LOG00013085,APP0013085,API Failure,1,Document Upload
LOG00013086,APP0013086,None,0,Final Approval
LOG00013087,APP0013087,None,0,Final Approval
LOG00013088,APP0013088,API Failure,48,Form
LOG00013089,APP0013089,API Failure,4,Form
LOG00013090,APP0013090,None,0,Final Approval
LOG00013091,APP0013091,None,0,Final Approval
LOG00013092,APP0013092,None,0,Final Approval
LOG00013093,APP0013093,None,0,Final Approval
LOG00013094,APP0013094,None,0,Final Approval
LOG00013095,APP0013095,None,0,Document Upload
LOG00013096,APP0013096,API Failure,58,KYC
LOG00013097,APP0013097,None,0,Final Approval
LOG00013098,APP0013098,None,0,Document Upload
LOG00013099,APP0013099,None,0,Final Approval
LOG00013100,APP0013100,None,0,KYC
LOG00013101,APP0013101,Timeout,31,KYC
LOG00013102,APP0013102,None,0,KYC
LOG00013103,APP0013103,None,0,Form
LOG00013104,APP0013104,None,0,Final Approval
LOG00013105,APP0013105,None,0,Final Approval
LOG00013106,APP0013106,None,0,Form
LOG00013107,APP0013107,None,0,Final Approval
LOG00013108,APP0013108,None,0,Final Approval
LOG00013109,APP0013109,None,0,Final Approval
LOG00013110,APP0013110,None,0,Final Approval
LOG00013111,APP0013111,API Failure,50,Form
LOG00013112,APP0013112,None,0,Final Approval
LOG00013113,APP0013113,None,0,Final Approval
LOG00013114,APP0013114,API Failure,56,KYC
LOG00013115,APP0013115,None,0,Form
LOG00013116,APP0013116,None,0,Final Approval
LOG00013117,APP0013117,API Failure,43,Form
LOG00013118,APP0013118,None,0,Final Approval
LOG00013119,APP0013119,None,0,Final Approval
LOG00013120,APP0013120,None,0,KYC
LOG00013121,APP0013121,None,0,Final Approval
LOG00013122,APP0013122,None,0,Final Approval
LOG00013123,APP0013123,None,0,Final Approval
LOG00013124,APP0013124,API Failure,50,KYC
LOG00013125,APP0013125,None,0,Final Approval
LOG00013126,APP0013126,None,0,Final Approval
LOG00013127,APP0013127,None,0,Final Approval
LOG00013128,APP0013128,None,0,KYC
LOG00013129,APP0013129,API Failure,44,Document Upload
LOG00013130,APP0013130,None,0,Final Approval
LOG00013131,APP0013131,None,0,Final Approval
LOG00013132,APP0013132,None,0,Final Approval
LOG00013133,APP0013133,None,0,Final Approval
LOG00013134,APP0013134,None,0,Final Approval
LOG00013135,APP0013135,None,0,Final Approval
LOG00013136,APP0013136,None,0,Final Approval
LOG00013137,APP0013137,None,0,Final Approval
LOG00013138,APP0013138,Upload Error,13,Final Approval
LOG00013139,APP0013139,None,0,Final Approval
LOG00013140,APP0013140,None,0,Final Approval
LOG00013141,APP0013141,None,0,Final Approval
LOG00013142,APP0013142,Timeout,20,Document Upload
LOG00013143,APP0013143,Timeout,7,Form
LOG00013144,APP0013144,None,0,Final Approval
LOG00013145,APP0013145,None,0,Final Approval
LOG00013146,APP0013146,None,0,Final Approval
LOG00013147,APP0013147,None,0,Final Approval
LOG00013148,APP0013148,API Failure,30,Final Approval
LOG00013149,APP0013149,None,0,Final Approval
LOG00013150,APP0013150,None,0,Final Approval
LOG00013151,APP0013151,None,0,Final Approval
LOG00013152,APP0013152,None,0,Final Approval
LOG00013153,APP0013153,None,0,Final Approval
LOG00013154,APP0013154,Timeout,31,Final Approval
LOG00013155,APP0013155,API Failure,15,Document Upload
LOG00013156,APP0013156,None,0,Final Approval
LOG00013157,APP0013157,None,0,Final Approval
LOG00013158,APP0013158,Upload Error,36,Document Upload
LOG00013159,APP0013159,None,0,Final Approval
LOG00013160,APP0013160,None,0,KYC
LOG00013161,APP0013161,None,0,Final Approval
LOG00013162,APP0013162,None,0,Final Approval
LOG00013163,APP0013163,None,0,Final Approval
LOG00013164,APP0013164,None,0,Final Approval
LOG00013165,APP0013165,None,0,Final Approval
LOG00013166,APP0013166,None,0,Final Approval
LOG00013167,APP0013167,None,0,Final Approval
LOG00013168,APP0013168,None,0,Final Approval
LOG00013169,APP0013169,API Failure,32,Final Approval
LOG00013170,APP0013170,None,0,Final Approval
LOG00013171,APP0013171,None,0,Final Approval
LOG00013172,APP0013172,None,0,Document Upload
LOG00013173,APP0013173,None,0,Document Upload
LOG00013174,APP0013174,None,0,Final Approval
LOG00013175,APP0013175,None,0,Document Upload
LOG00013176,APP0013176,None,0,Final Approval
LOG00013177,APP0013177,None,0,Document Upload
LOG00013178,APP0013178,None,0,KYC
LOG00013179,APP0013179,None,0,Form
LOG00013180,APP0013180,None,0,Document Upload
LOG00013181,APP0013181,None,0,Form
LOG00013182,APP0013182,None,0,Final Approval
LOG00013183,APP0013183,None,0,Form
LOG00013184,APP0013184,None,0,Form
LOG00013185,APP0013185,None,0,KYC
LOG00013186,APP0013186,None,0,Final Approval
LOG00013187,APP0013187,None,0,Final Approval
LOG00013188,APP0013188,None,0,Final Approval
LOG00013189,APP0013189,None,0,Form
LOG00013190,APP0013190,Upload Error,52,Document Upload
LOG00013191,APP0013191,None,0,Final Approval
LOG00013192,APP0013192,Timeout,18,KYC
LOG00013193,APP0013193,None,0,Final Approval
LOG00013194,APP0013194,None,0,Final Approval
LOG00013195,APP0013195,None,0,Final Approval
LOG00013196,APP0013196,None,0,Final Approval
LOG00013197,APP0013197,Timeout,17,Document Upload
LOG00013198,APP0013198,Timeout,23,Final Approval
LOG00013199,APP0013199,Timeout,25,Final Approval
LOG00013200,APP0013200,None,0,Final Approval
LOG00013201,APP0013201,Upload Error,46,Final Approval
LOG00013202,APP0013202,None,0,Final Approval
LOG00013203,APP0013203,None,0,Final Approval
LOG00013204,APP0013204,None,0,Final Approval
LOG00013205,APP0013205,None,0,KYC
LOG00013206,APP0013206,None,0,Final Approval
LOG00013207,APP0013207,None,0,Final Approval
LOG00013208,APP0013208,None,0,Final Approval
LOG00013209,APP0013209,None,0,KYC
LOG00013210,APP0013210,Timeout,25,Form
LOG00013211,APP0013211,None,0,Final Approval
LOG00013212,APP0013212,API Failure,15,KYC
LOG00013213,APP0013213,API Failure,24,Form
LOG00013214,APP0013214,None,0,Final Approval
LOG00013215,APP0013215,None,0,Final Approval
LOG00013216,APP0013216,Upload Error,20,Document Upload
LOG00013217,APP0013217,None,0,Final Approval
LOG00013218,APP0013218,None,0,Final Approval
LOG00013219,APP0013219,Timeout,15,Form
LOG00013220,APP0013220,None,0,Final Approval
LOG00013221,APP0013221,None,0,Form
LOG00013222,APP0013222,API Failure,35,Final Approval
LOG00013223,APP0013223,Upload Error,16,Final Approval
LOG00013224,APP0013224,Upload Error,57,KYC
LOG00013225,APP0013225,API Failure,53,Form
LOG00013226,APP0013226,None,0,Final Approval
LOG00013227,APP0013227,None,0,KYC
LOG00013228,APP0013228,API Failure,26,KYC
LOG00013229,APP0013229,None,0,Final Approval
LOG00013230,APP0013230,API Failure,58,Form
LOG00013231,APP0013231,None,0,Final Approval
LOG00013232,APP0013232,Upload Error,42,Final Approval
LOG00013233,APP0013233,None,0,Final Approval
LOG00013234,APP0013234,None,0,Final Approval
LOG00013235,APP0013235,Timeout,33,Document Upload
LOG00013236,APP0013236,None,0,Final Approval
LOG00013237,APP0013237,Upload Error,17,Document Upload
LOG00013238,APP0013238,None,0,Final Approval
LOG00013239,APP0013239,None,0,Final Approval
LOG00013240,APP0013240,None,0,Document Upload
LOG00013241,APP0013241,None,0,Form
LOG00013242,APP0013242,None,0,Final Approval
LOG00013243,APP0013243,None,0,Final Approval
LOG00013244,APP0013244,None,0,Final Approval
LOG00013245,APP0013245,None,0,Document Upload
LOG00013246,APP0013246,None,0,Final Approval
LOG00013247,APP0013247,None,0,Final Approval
LOG00013248,APP0013248,Upload Error,4,Final Approval
LOG00013249,APP0013249,None,0,Final Approval
LOG00013250,APP0013250,None,0,Final Approval
LOG00013251,APP0013251,None,0,Final Approval
LOG00013252,APP0013252,None,0,Final Approval
LOG00013253,APP0013253,Upload Error,22,Final Approval
LOG00013254,APP0013254,None,0,KYC
LOG00013255,APP0013255,None,0,Final Approval
LOG00013256,APP0013256,Upload Error,17,Document Upload
LOG00013257,APP0013257,None,0,Final Approval
LOG00013258,APP0013258,None,0,Final Approval
LOG00013259,APP0013259,None,0,Document Upload
LOG00013260,APP0013260,API Failure,24,Form
LOG00013261,APP0013261,None,0,Form
LOG00013262,APP0013262,None,0,Final Approval
LOG00013263,APP0013263,Upload Error,28,Final Approval
LOG00013264,APP0013264,None,0,Final Approval
LOG00013265,APP0013265,None,0,Final Approval
LOG00013266,APP0013266,None,0,Final Approval
LOG00013267,APP0013267,None,0,Final Approval
LOG00013268,APP0013268,None,0,Document Upload
LOG00013269,APP0013269,None,0,Final Approval
LOG00013270,APP0013270,None,0,Final Approval
LOG00013271,APP0013271,Timeout,22,Form
LOG00013272,APP0013272,None,0,Form
LOG00013273,APP0013273,None,0,Document Upload
LOG00013274,APP0013274,None,0,Final Approval
LOG00013275,APP0013275,Upload Error,9,Final Approval
LOG00013276,APP0013276,None,0,Final Approval
LOG00013277,APP0013277,None,0,Final Approval
LOG00013278,APP0013278,Upload Error,48,Final Approval
LOG00013279,APP0013279,Upload Error,58,Final Approval
LOG00013280,APP0013280,API Failure,54,KYC
LOG00013281,APP0013281,API Failure,36,Form
LOG00013282,APP0013282,API Failure,50,Document Upload
LOG00013283,APP0013283,None,0,KYC
LOG00013284,APP0013284,None,0,Form
LOG00013285,APP0013285,None,0,KYC
LOG00013286,APP0013286,None,0,Final Approval
LOG00013287,APP0013287,None,0,Final Approval
LOG00013288,APP0013288,None,0,Final Approval
LOG00013289,APP0013289,None,0,Final Approval
LOG00013290,APP0013290,None,0,Form
LOG00013291,APP0013291,API Failure,36,Form
LOG00013292,APP0013292,Timeout,39,KYC
LOG00013293,APP0013293,Timeout,19,Document Upload
LOG00013294,APP0013294,Upload Error,28,Document Upload
LOG00013295,APP0013295,None,0,Form
LOG00013296,APP0013296,None,0,Final Approval
LOG00013297,APP0013297,None,0,Final Approval
LOG00013298,APP0013298,None,0,KYC
LOG00013299,APP0013299,None,0,Form
LOG00013300,APP0013300,None,0,Final Approval
LOG00013301,APP0013301,None,0,Final Approval
LOG00013302,APP0013302,None,0,Form
LOG00013303,APP0013303,None,0,Final Approval
LOG00013304,APP0013304,None,0,Final Approval
LOG00013305,APP0013305,None,0,Final Approval
LOG00013306,APP0013306,None,0,Final Approval
LOG00013307,APP0013307,None,0,Final Approval
LOG00013308,APP0013308,None,0,Final Approval
LOG00013309,APP0013309,None,0,Final Approval
LOG00013310,APP0013310,None,0,Final Approval
LOG00013311,APP0013311,None,0,Final Approval
LOG00013312,APP0013312,Timeout,51,KYC
LOG00013313,APP0013313,None,0,Final Approval
LOG00013314,APP0013314,None,0,Final Approval
LOG00013315,APP0013315,Upload Error,2,Document Upload
LOG00013316,APP0013316,Timeout,40,Form
LOG00013317,APP0013317,None,0,Document Upload
LOG00013318,APP0013318,None,0,Final Approval
LOG00013319,APP0013319,None,0,Final Approval
LOG00013320,APP0013320,None,0,Final Approval
LOG00013321,APP0013321,Timeout,19,Form
LOG00013322,APP0013322,None,0,Final Approval
LOG00013323,APP0013323,None,0,Final Approval
LOG00013324,APP0013324,None,0,Final Approval
LOG00013325,APP0013325,None,0,Final Approval
LOG00013326,APP0013326,None,0,Document Upload
LOG00013327,APP0013327,None,0,Final Approval
LOG00013328,APP0013328,API Failure,43,KYC
LOG00013329,APP0013329,None,0,Final Approval
LOG00013330,APP0013330,None,0,Form
LOG00013331,APP0013331,None,0,Final Approval
LOG00013332,APP0013332,None,0,Final Approval
LOG00013333,APP0013333,None,0,Document Upload
LOG00013334,APP0013334,None,0,Final Approval
LOG00013335,APP0013335,None,0,Final Approval
LOG00013336,APP0013336,None,0,Final Approval
LOG00013337,APP0013337,None,0,Document Upload
LOG00013338,APP0013338,None,0,Final Approval
LOG00013339,APP0013339,API Failure,6,KYC
LOG00013340,APP0013340,None,0,Final Approval
LOG00013341,APP0013341,None,0,Final Approval
LOG00013342,APP0013342,Timeout,17,Document Upload
LOG00013343,APP0013343,Timeout,29,KYC
LOG00013344,APP0013344,Timeout,44,KYC
LOG00013345,APP0013345,API Failure,22,Final Approval
LOG00013346,APP0013346,Timeout,59,Final Approval
LOG00013347,APP0013347,None,0,Form
LOG00013348,APP0013348,API Failure,29,Final Approval
LOG00013349,APP0013349,None,0,Final Approval
LOG00013350,APP0013350,Upload Error,35,Document Upload
LOG00013351,APP0013351,None,0,Final Approval
LOG00013352,APP0013352,Timeout,9,Form
LOG00013353,APP0013353,Timeout,29,Final Approval
LOG00013354,APP0013354,None,0,Final Approval
LOG00013355,APP0013355,Upload Error,50,Final Approval
LOG00013356,APP0013356,Timeout,54,Document Upload
LOG00013357,APP0013357,None,0,Final Approval
LOG00013358,APP0013358,None,0,KYC
LOG00013359,APP0013359,Upload Error,18,Document Upload
LOG00013360,APP0013360,None,0,Final Approval
LOG00013361,APP0013361,Upload Error,55,Final Approval
LOG00013362,APP0013362,None,0,Final Approval
LOG00013363,APP0013363,Timeout,43,KYC
LOG00013364,APP0013364,API Failure,52,Form
LOG00013365,APP0013365,None,0,Final Approval
LOG00013366,APP0013366,None,0,Final Approval
LOG00013367,APP0013367,None,0,Final Approval
LOG00013368,APP0013368,None,0,KYC
LOG00013369,APP0013369,None,0,Final Approval
LOG00013370,APP0013370,None,0,Document Upload
LOG00013371,APP0013371,Timeout,5,Final Approval
LOG00013372,APP0013372,Timeout,13,KYC
LOG00013373,APP0013373,None,0,Form
LOG00013374,APP0013374,None,0,Final Approval
LOG00013375,APP0013375,None,0,Final Approval
LOG00013376,APP0013376,Timeout,27,KYC
LOG00013377,APP0013377,API Failure,52,KYC
LOG00013378,APP0013378,Upload Error,9,Document Upload
LOG00013379,APP0013379,None,0,Final Approval
LOG00013380,APP0013380,None,0,Final Approval
LOG00013381,APP0013381,None,0,Final Approval
LOG00013382,APP0013382,Upload Error,48,Document Upload
LOG00013383,APP0013383,None,0,Final Approval
LOG00013384,APP0013384,None,0,Final Approval
LOG00013385,APP0013385,None,0,Final Approval
LOG00013386,APP0013386,Upload Error,42,Final Approval
LOG00013387,APP0013387,None,0,Final Approval
LOG00013388,APP0013388,None,0,Final Approval
LOG00013389,APP0013389,Timeout,39,Form
LOG00013390,APP0013390,None,0,Final Approval
LOG00013391,APP0013391,None,0,Final Approval
LOG00013392,APP0013392,None,0,KYC
LOG00013393,APP0013393,Timeout,45,Form
LOG00013394,APP0013394,None,0,Final Approval
LOG00013395,APP0013395,None,0,Final Approval
LOG00013396,APP0013396,API Failure,19,KYC
LOG00013397,APP0013397,None,0,Final Approval
LOG00013398,APP0013398,None,0,KYC
LOG00013399,APP0013399,None,0,Final Approval
LOG00013400,APP0013400,API Failure,42,KYC
LOG00013401,APP0013401,None,0,KYC
LOG00013402,APP0013402,None,0,Final Approval
LOG00013403,APP0013403,Timeout,46,Final Approval
LOG00013404,APP0013404,None,0,Form
LOG00013405,APP0013405,None,0,Document Upload
LOG00013406,APP0013406,None,0,Document Upload
LOG00013407,APP0013407,None,0,Final Approval
LOG00013408,APP0013408,None,0,Final Approval
LOG00013409,APP0013409,None,0,Final Approval
LOG00013410,APP0013410,None,0,Final Approval
LOG00013411,APP0013411,None,0,Final Approval
LOG00013412,APP0013412,API Failure,57,Form
LOG00013413,APP0013413,None,0,Final Approval
LOG00013414,APP0013414,Upload Error,14,Document Upload
LOG00013415,APP0013415,Timeout,32,Form
LOG00013416,APP0013416,Upload Error,14,Final Approval
LOG00013417,APP0013417,None,0,Final Approval
LOG00013418,APP0013418,None,0,Final Approval
LOG00013419,APP0013419,None,0,Final Approval
LOG00013420,APP0013420,None,0,Final Approval
LOG00013421,APP0013421,None,0,Final Approval
LOG00013422,APP0013422,None,0,Final Approval
LOG00013423,APP0013423,None,0,Final Approval
LOG00013424,APP0013424,None,0,Form
LOG00013425,APP0013425,None,0,Final Approval
LOG00013426,APP0013426,API Failure,10,Document Upload
LOG00013427,APP0013427,None,0,Final Approval
LOG00013428,APP0013428,None,0,Final Approval
LOG00013429,APP0013429,API Failure,42,Final Approval
LOG00013430,APP0013430,None,0,Form
LOG00013431,APP0013431,Upload Error,17,Form
LOG00013432,APP0013432,Timeout,13,Form
LOG00013433,APP0013433,None,0,KYC
LOG00013434,APP0013434,None,0,Final Approval
LOG00013435,APP0013435,None,0,Form
LOG00013436,APP0013436,None,0,Final Approval
LOG00013437,APP0013437,API Failure,17,KYC
LOG00013438,APP0013438,Upload Error,31,Document Upload
LOG00013439,APP0013439,None,0,Final Approval
LOG00013440,APP0013440,None,0,Final Approval
LOG00013441,APP0013441,None,0,Final Approval
LOG00013442,APP0013442,None,0,Final Approval
LOG00013443,APP0013443,None,0,Final Approval
LOG00013444,APP0013444,None,0,Final Approval
LOG00013445,APP0013445,API Failure,41,Document Upload
LOG00013446,APP0013446,None,0,Final Approval
LOG00013447,APP0013447,None,0,Final Approval
LOG00013448,APP0013448,None,0,Final Approval
LOG00013449,APP0013449,None,0,Document Upload
LOG00013450,APP0013450,None,0,Form
LOG00013451,APP0013451,None,0,Final Approval
LOG00013452,APP0013452,None,0,Final Approval
LOG00013453,APP0013453,Upload Error,20,Document Upload
LOG00013454,APP0013454,None,0,KYC
LOG00013455,APP0013455,None,0,Final Approval
LOG00013456,APP0013456,API Failure,22,Final Approval
LOG00013457,APP0013457,Upload Error,46,Document Upload
LOG00013458,APP0013458,API Failure,4,Document Upload
LOG00013459,APP0013459,None,0,Final Approval
LOG00013460,APP0013460,None,0,Final Approval
LOG00013461,APP0013461,None,0,Final Approval
LOG00013462,APP0013462,None,0,Final Approval
LOG00013463,APP0013463,API Failure,13,KYC
LOG00013464,APP0013464,None,0,Final Approval
LOG00013465,APP0013465,None,0,Final Approval
LOG00013466,APP0013466,API Failure,43,Form
LOG00013467,APP0013467,API Failure,50,Final Approval
LOG00013468,APP0013468,None,0,Final Approval
LOG00013469,APP0013469,None,0,Final Approval
LOG00013470,APP0013470,API Failure,27,KYC
LOG00013471,APP0013471,Timeout,42,Final Approval
LOG00013472,APP0013472,Upload Error,43,Document Upload
LOG00013473,APP0013473,None,0,Final Approval
LOG00013474,APP0013474,API Failure,34,Document Upload
LOG00013475,APP0013475,API Failure,32,Final Approval
LOG00013476,APP0013476,None,0,KYC
LOG00013477,APP0013477,Upload Error,53,Final Approval
LOG00013478,APP0013478,None,0,Final Approval
LOG00013479,APP0013479,None,0,Final Approval
LOG00013480,APP0013480,Upload Error,53,Document Upload
LOG00013481,APP0013481,None,0,Document Upload
LOG00013482,APP0013482,API Failure,14,Final Approval
LOG00013483,APP0013483,None,0,Final Approval
LOG00013484,APP0013484,None,0,Final Approval
LOG00013485,APP0013485,None,0,Final Approval
LOG00013486,APP0013486,None,0,Final Approval
LOG00013487,APP0013487,None,0,Final Approval
LOG00013488,APP0013488,None,0,Final Approval
LOG00013489,APP0013489,Timeout,6,KYC
LOG00013490,APP0013490,None,0,Final Approval
LOG00013491,APP0013491,None,0,Final Approval
LOG00013492,APP0013492,Upload Error,3,Document Upload
LOG00013493,APP0013493,Timeout,30,Form
LOG00013494,APP0013494,None,0,Final Approval
LOG00013495,APP0013495,None,0,KYC
LOG00013496,APP0013496,None,0,Form
LOG00013497,APP0013497,None,0,Final Approval
LOG00013498,APP0013498,None,0,Document Upload
LOG00013499,APP0013499,None,0,Final Approval
LOG00013500,APP0013500,None,0,Final Approval
LOG00013501,APP0013501,None,0,Final Approval
LOG00013502,APP0013502,Timeout,6,Document Upload
LOG00013503,APP0013503,Timeout,58,Document Upload
LOG00013504,APP0013504,Upload Error,47,Final Approval
LOG00013505,APP0013505,Upload Error,7,Document Upload
LOG00013506,APP0013506,None,0,Final Approval
LOG00013507,APP0013507,None,0,Final Approval
LOG00013508,APP0013508,None,0,Form
LOG00013509,APP0013509,None,0,Final Approval
LOG00013510,APP0013510,None,0,Final Approval
LOG00013511,APP0013511,None,0,Final Approval
LOG00013512,APP0013512,None,0,Form
LOG00013513,APP0013513,None,0,Final Approval
LOG00013514,APP0013514,API Failure,31,Document Upload
LOG00013515,APP0013515,None,0,Form
LOG00013516,APP0013516,None,0,Final Approval
LOG00013517,APP0013517,Timeout,32,Form
LOG00013518,APP0013518,None,0,Final Approval
LOG00013519,APP0013519,None,0,Form
LOG00013520,APP0013520,API Failure,3,Form
LOG00013521,APP0013521,None,0,Form
LOG00013522,APP0013522,None,0,Final Approval
LOG00013523,APP0013523,Upload Error,22,Document Upload
LOG00013524,APP0013524,None,0,Final Approval
LOG00013525,APP0013525,Timeout,24,KYC
LOG00013526,APP0013526,None,0,Final Approval
LOG00013527,APP0013527,None,0,Final Approval
LOG00013528,APP0013528,None,0,KYC
LOG00013529,APP0013529,None,0,KYC
LOG00013530,APP0013530,API Failure,41,Form
LOG00013531,APP0013531,None,0,Final Approval
LOG00013532,APP0013532,None,0,Document Upload
LOG00013533,APP0013533,None,0,Final Approval
LOG00013534,APP0013534,None,0,Final Approval
LOG00013535,APP0013535,None,0,Final Approval
LOG00013536,APP0013536,None,0,Final Approval
LOG00013537,APP0013537,None,0,Final Approval
LOG00013538,APP0013538,None,0,Document Upload
LOG00013539,APP0013539,None,0,Final Approval
LOG00013540,APP0013540,Timeout,34,KYC
LOG00013541,APP0013541,None,0,Final Approval
LOG00013542,APP0013542,None,0,Final Approval
LOG00013543,APP0013543,None,0,Document Upload
LOG00013544,APP0013544,None,0,KYC
LOG00013545,APP0013545,None,0,Final Approval
LOG00013546,APP0013546,Timeout,50,Document Upload
LOG00013547,APP0013547,None,0,Final Approval
LOG00013548,APP0013548,None,0,Final Approval
LOG00013549,APP0013549,None,0,Final Approval
LOG00013550,APP0013550,None,0,KYC
LOG00013551,APP0013551,None,0,Final Approval
LOG00013552,APP0013552,None,0,Final Approval
LOG00013553,APP0013553,API Failure,2,Form
LOG00013554,APP0013554,None,0,Final Approval
LOG00013555,APP0013555,None,0,Final Approval
LOG00013556,APP0013556,None,0,Form
LOG00013557,APP0013557,None,0,Final Approval
LOG00013558,APP0013558,None,0,Document Upload
LOG00013559,APP0013559,None,0,Document Upload
LOG00013560,APP0013560,None,0,Final Approval
LOG00013561,APP0013561,None,0,Final Approval
LOG00013562,APP0013562,Upload Error,9,Document Upload
LOG00013563,APP0013563,None,0,Final Approval
LOG00013564,APP0013564,None,0,Form
LOG00013565,APP0013565,None,0,KYC
